X,Y,OBJECTID,COMPANY,FACILITY,PERMIT_TYPE,VOC_TONS_YEAR,METHANE_75_VOC,LAT,LON,SHAPE
-103.148017058234,32.6794164366651,1,Occidental Permian Limited,South Hobbs Unit - Central Tank Battery (CTB) - GCP4 0330,6,40.8,30.6,32.679411,-103.148008,
-103.776949211466,32.8127504301556,2,ConocoPhillips - Midland Office,ConocoPhillips - MCA Tank Battery No2,1,209.7,157.275,32.812745,-103.77694,
-103.162338038778,32.3182863742468,3,Texaco Exploration & Production Inc,BF Harrison B Tank Battery,6,15.4,11.55,32.318281,-103.162329,
-103.162338038778,32.3182863742468,4,Chevron USA Inc,BF Harrison B Tank Battery,6,15.4,11.55,32.318281,-103.162329,
-103.162338038778,32.3182863742468,5,Texaco Marketing Operations,BF Harrison B Tank Battery,6,15.4,11.55,32.318281,-103.162329,
-103.494518144746,32.7826804382123,6,Chevron USA Inc,Vacuum Drinkard Tank Battery,6,22,16.5,32.782675,-103.494509,
-103.494518144746,32.7826804382123,7,Texaco Exploration & Production Inc,Vacuum Drinkard Tank Battery,6,22,16.5,32.782675,-103.494509,
-103.494518144746,32.7826804382123,8,Texaco Marketing Operations,Vacuum Drinkard Tank Battery,6,22,16.5,32.782675,-103.494509,
-103.151535036834,32.327147376251,12,Texaco Exploration & Production Inc,BF Harrison Tank Battery No2,6,13.7,10.275,32.327142,-103.151526,
-103.151535036834,32.327147376251,13,Texaco Marketing Operations,BF Harrison Tank Battery No2,6,13.7,10.275,32.327142,-103.151526,
-103.152085035285,32.3000983715811,14,Texaco Exploration & Production Inc,L Van Ettan Tank Battery,6,24.7,18.525,32.300093,-103.152076,
-103.152085035285,32.3000983715811,15,Chevron USA Inc,L Van Ettan Tank Battery,6,24.7,18.525,32.300093,-103.152076,
-103.152085035285,32.3000983715811,16,Texaco Marketing Operations,L Van Ettan Tank Battery,6,24.7,18.525,32.300093,-103.152076,
-103.147498016073,32.0023943204784,17,Texaco Exploration & Production Inc,WH Rhodes 'B' Tank Battery,6,23.1,17.325,32.002389,-103.147489,
-103.147498016073,32.0023943204784,18,Chevron USA Inc,WH Rhodes 'B' Tank Battery,6,23.1,17.325,32.002389,-103.147489,
-103.147498016073,32.0023943204784,19,Texaco Marketing Operations,WH Rhodes 'B' Tank Battery,6,23.1,17.325,32.002389,-103.147489,
-103.509046148401,32.787554438362,20,Texaco Exploration & Production Inc,Chevron USA - Buckeye CO2 Plant,3,36.8,27.6,32.787549,-103.509037,
